meter_id,cadence,mape,median_mape,p95_ape,mbe_kwh,n_blocks,total_actual_kwh,total_predicted_kwh,under_5pct
65021124,native_30min,21.912943769915433,6.156468531468532,50.08888888888889,-0.03783794952681388,317,316.159,304.16437,False
65021124,tod_4h,6.215130259051699,3.6008676789587857,21.90207646176911,-0.2762032558139535,43,316.159,304.28226,False
65021169,dam_15min,24.750489185040504,17.40980419569585,73.52147239263803,0.035692731481481485,216,177.02,184.72963000000001,False
65021169,hourly,21.377221467516577,12.637298207305793,70.17666015624998,0.12114859374999996,64,177.02,184.77351,False
65021169,native_30min,24.750489185040504,17.40980419569585,72.75219234933235,0.07138546296296297,108,177.02,184.72963,False
65021169,tod_4h,20.45628701801838,9.973466003316746,68.93738511029412,0.23600878787878787,33,177.02,184.80829,False
65021964,dam_15min,4.175994352312457,3.6550911376492823,11.39562475840742,-0.005037062146892652,708,191.13,187.56376,True
65021964,hourly,3.74617698178326,3.1848158131177016,9.066113249199859,-0.018978764044943787,178,191.13,187.75178,True
65021964,native_30min,4.175994352312457,3.6550911376492823,11.377229899497486,-0.010074124293785304,354,191.13,187.56376,True
65021964,tod_4h,3.1919238990969876,2.3587701835876937,8.833426579777164,-0.07507155555555545,45,191.13,187.75178,True
65022302,dam_15min,15.208310747983548,8.90081580044384,41.88314889336015,-0.004526972222222223,720,225.768,222.50858,False
65022302,hourly,10.707394977602984,5.536076203426042,35.1788498930585,-0.018107888888888892,180,225.768,222.50858,False
65022302,native_30min,15.208310747983548,8.90081580044384,41.88314889336016,-0.009053944444444446,360,225.768,222.50858,False
65022302,tod_4h,8.733643580464186,3.6380846325167013,25.152430584277717,-0.07243155555555561,45,225.768,222.50858,False
65022501,dam_15min,8.909575042505955,3.699999999999987,42.165521064301544,-0.02295639275766017,718,288.931,272.44831,False
65022501,hourly,8.187930226330636,3.1807692307692306,42.38489615014813,-0.09157050000000003,180,288.931,272.44831,False
65022501,native_30min,8.909575042505955,3.699999999999987,42.14434589800442,-0.04591278551532034,359,288.931,272.44831,False
65022501,tod_4h,8.17030865934881,3.343570057581586,36.15281835188194,-0.36628200000000005,45,288.931,272.44831,False
65023781,dam_15min,4.998553135703174,3.3975753116507663,11.814197415246309,-0.007431606145251392,716,265.781,260.45997,True
65023781,hourly,4.504097893265325,3.1707466340269126,9.347177419354844,-0.028644055555555534,180,265.781,260.62507,True
65023781,native_30min,4.998553135703174,3.3975753116507663,11.783255291253045,-0.014863212290502784,358,265.781,260.45997,True
